변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,237784,[길음역]길음역라와마라탕 1층,90085,[성북월곡]성북동 4400,POLYGON,4400,4000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90087,[성북월곡]길음동 클라시아아파트550,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90088,[성북월곡] 월계동1구역 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90090,[성북월곡]고려대학교 2구역 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90091,[성북월곡]이문동2구역 2200,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90093,[성북월곡]고려대학교 1구역 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90094,[성북월곡] 월계동2구역 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90095,[성북월곡]이문동3구역 1100,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90096,[성북월곡] 월계동3구역 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90097,[성북월곡] 월계동4구역 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90098,[성북월곡]카이스트 한예종 500원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90099,[성북월곡]이문동1구역 1100,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90280,[성북월곡] 야간할증 770원,WEEKLY_HOURS,770,700,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90670,[성북월곡] 수유동1 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90671,[성북월곡] 수유동2 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90672,[성북월곡] 수유동3 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90673,[성북월곡] 수유동4 4400원,POLYGON,4400,4000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90674,[성북월곡] 수유동5 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90675,[성북월곡] 수유동6 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90676,[성북월곡] 수유동7 3300원,POLYGON,3300,3000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90677,[성북월곡] 수유동8 3300원,POLYGON,3300,3000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90678,[성북월곡] 수유동9 3300원,POLYGON,3300,3000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,94193,"[성북월곡] 한신한진 1,100원",POLYGON,1100,1000,
매핑해제,238259,파리바게뜨 왕십리무학점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,238259,파리바게뜨 왕십리무학점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,23963,파리바게뜨 한성대역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,24111,파리바게뜨 성신여대점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,24111,파리바게뜨 성신여대점,30326,[성북보문] 창신동 550원,POLYGON,550,500,
매핑해제,24112,파리바게뜨 동소문점,11561,[성북보문] 동숭동 550원 할증,REGIONS,550,500,
매핑해제,24112,파리바게뜨 동소문점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,24112,파리바게뜨 동소문점,17681,"[성북보문] 정릉1,2동 550원",REGIONS,550,500,
매핑해제,24112,파리바게뜨 동소문점,30322,[성북보문] 종암동 550원,REGIONS,550,500,
매핑해제,24112,파리바게뜨 동소문점,30326,[성북보문] 창신동 550원,POLYGON,550,500,
매핑해제,24112,파리바게뜨 동소문점,9884,[성북보문] 숭인동 550원,POLYGON,550,500,
매핑해제,24206,파리바게뜨 성동구민회관점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,24206,파리바게뜨 성동구민회관점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,24206,파리바게뜨 성동구민회관점,7653,[성동행당] 성동교 550원,REGIONS,550,500,
매핑해제,243551,슈퍼키친 신금호역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,243551,슈퍼키친 신금호역점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,24399,파리바게뜨 왕십리텐즈힐점,137410,"[중구신당] 센트라스,텐즈힐 1100",POLYGON,1100,1000,
매핑해제,24399,파리바게뜨 왕십리텐즈힐점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,24399,파리바게뜨 왕십리텐즈힐점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,24399,파리바게뜨 왕십리텐즈힐점,18705,프라임 픽업할증_550원,UNCONDITIONAL,550,500,
매핑해제,248795,빽다방 한양대점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,248795,빽다방 한양대점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,248795,빽다방 한양대점,8108,프라임 심야할증,WEEKLY_HOURS,550,500,
매핑해제,249299,GS더프레시 성동옥수점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,249299,GS더프레시 성동옥수점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,249299,GS더프레시 성동옥수점,18705,프라임 픽업할증_550원,UNCONDITIONAL,550,500,
매핑해제,255575,GS25 마장세림점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,255575,GS25 마장세림점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103797,[성북월곡]동소문동6가 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103798,[성북월곡]동소문동7가 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103800,[성북월곡] 정릉동 청수장 770원,POLYGON,770,700,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103801,[성북월곡] 서경대학교 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103802,[성북월곡] 대광아파트 770원,POLYGON,770,700,
